,user,name,rating,main_category,sub_category
0,user0,global desi Women's Straight Fit Pants,5,women's clothing,Western Wear
1,user0,MEERA FAB Women Cotton Aquaa Printed Kurta Palazzo & Dupatta Set,4,women's clothing,Clothing
2,user0,17Hills Premium Cotton Combo of 4 Tank Top Vest Camisole Sando for Women,4,women's clothing,Western Wear
3,user0,Pistaa's Women's Cotton Blend A-Line Kurta,4,women's clothing,Clothing
4,user0,TYFFYN_Single Button Stylish and Casual High Waist Jeans for Women,5,women's clothing,Clothing
5,user0,DUPATTA BAZAAR Women's Golden Embroidered Chiffon Dupatta,5,women's clothing,Clothing
6,user0,Calendar Women's Khadi Pure Georgette Saree With Unstitched blouse piece,4,women's clothing,Clothing
7,user0,RENE Women's Cotton Self Design Half Sleeve Blouse,5,women's clothing,Ethnic Wear
8,user0,Gauri Laxmi Enterprise Women's Kanchipuram Cotton Silk Saree With Unstitched Blouse Piece,5,women's clothing,Clothing
9,user0,fashionkiosks cream cotton kerala kasavu Mural zari work saree with Attached Blouse,4,women's clothing,Ethnic Wear
10,user0,Yashika Women's Art Silk Printed Saree With Blouse piece(PUDINA_Free Size),4,women's clothing,Clothing
11,user0,RAJMANDIRFABRICS Women Rayon Kurta Pant With Dupatta,5,women's clothing,Ethnic Wear
12,user0,Dream Beauty Fashion Women's Crop Top,5,women's clothing,Western Wear
13,user0,BODYCARE Anti-Bacterial Melange Solid Women Thermal Top,4,women's clothing,Lingerie & Nightwear
14,user0,Miss Ethnik Women's Faux Georgette Semi Stitched Top With Stitched Faux Georgette Bottom and Faux Georgette Dupatta Embroi...,5,women's clothing,Ethnic Wear
15,user0,LIBBY'S Womens Soft Rayon Palazzo for Women Palazzo Pant/Girls Regular Fit Flared Pleated Non-Transparent Solid Color Rayo...,5,women's clothing,Ethnic Wear
16,user0,Nifty Women's Denim Stretchable Slim Fit Black Jeans,4,women's clothing,Clothing
17,user0,Life Win Women's Cotton Sleeve Blouse,5,women's clothing,Clothing
18,user0,Serein Women's Polka Dots Regular Fit Top (M-SER-BT-1- White XL),5,women's clothing,Western Wear
19,user0,Agirav Girl's & Women Cotton All Over Print Pyjama Pack of 4(Assorted Prints),4,women's clothing,Clothing
